movie_name,domestic,worldwide_gross,Distributor,movie_id,titleType,runtimeMinutes,genres,Rating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Certification,month_number,budget,G,NC-17,PG,PG-13,R,success
Transformers: Rise of the Beasts,157066392,438966392,Paramount Pictures,tt5090568,movie,127,"Action,Adventure,Sci-Fi",6,130796,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,6,195000000,0,0,0,1,0,0
Blue Beetle,72488072,130788072,Warner Bros.,tt9362930,movie,127,"Action,Adventure,Sci-Fi",5.9,116157,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,8,104000000,0,0,0,1,0,0
Big George Foreman,5426772,6031202,Sony Pictures Releasing,tt12226632,movie,129,"Biography,Drama,Sport",6.7,12677,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PG-13,4,32000000,0,0,0,1,0,0
Shazam! Fury of the Gods,57638006,134038006,Warner Bros.,tt10151854,movie,130,"Action,Adventure,Comedy",5.9,144783,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,3,125000000,0,0,0,1,0,0
Ferrari,10778480,42285029,Neon,tt3758542,movie,130,"Biography,Drama,History",6.4,67317,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,12,95000000,0,0,0,0,1,0
Sound of Freedom,184177725,250570396,Angel,tt7599146,movie,131,"Biography,Crime,Drama",7.6,137053,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,7,14500000,0,0,0,1,0,1
Saltburn,11256512,21026167,Amazon MGM Studios,tt17351924,movie,131,"Drama,Thriller",7,264537,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,11,75000000,0,0,0,0,1,0
The Iron Claw,15964922,45143469,A24,tt21064584,movie,132,"Biography,Drama,Sport",7.5,118388,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,R,12,15900000,0,0,0,0,1,1
The Creator,40774679,104272136,20th Century Studios,tt11858890,movie,133,"Action,Adventure,Drama",6.7,196762,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,9,80000000,0,0,0,1,0,0
The Holdovers,18208655,45011651,Focus Features,tt14849194,movie,133,"Comedy,Drama",7.9,247014,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,10,13000000,0,0,0,0,1,1
Dungeons & Dragons: Honor Among Thieves,93277026,208177026,Paramount Pictures,tt2906216,movie,134,"Action,Adventure,Comedy",7.2,272884,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,3,150000000,0,0,0,1,0,0
Gran Turismo,44428554,122101055,Sony Pictures Releasing,tt4495098,movie,134,"Action,Adventure,Drama",7.1,134674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,8,60000000,0,0,0,1,0,0
The Little Mermaid,298172056,569626289,Walt Disney Studios Motion Pictures,tt5971474,movie,135,"Adventure,Family,Fantasy",7.2,178188,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PG,5,250000000,0,0,1,0,0,0
Spider-Man: Across the Spider-Verse,381311319,690897910,Columbia Pictures,tt9362722,movie,140,"Action,Adventure,Animation",8.5,519799,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,6,100000000,0,0,1,0,0,1
Fast X,146126015,704875015,Universal Pictures,tt5433140,movie,141,"Action,Adventure,Crime",5.7,145507,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,5,340000000,0,0,0,1,0,0
