movie_name,domestic,worldwide_gross,Distributor,movie_id,titleType,runtimeMinutes,genres,Rating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Certification,month_number,budget,G,NC-17,PG,PG-13,R,success
Puss in Boots: The Last Wish,130425380,480466413,Universal Pictures,tt3915174,movie,102,"Action,Adventure,Animation",7.8,223866,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,12,90000000,0,0,1,0,0,1
M3GAN,95159005,180089109,Universal Pictures,tt8760708,movie,102,"Horror,Sci-Fi,Thriller",6.3,181255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,PG-13,1,12000000,0,0,0,1,0,1
Dream Scenario,5615011,12481022,A24,tt21942866,movie,102,"Comedy,Drama,Fantasy",6.8,93520,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,11,10000000,0,0,0,0,1,0
Living,2984305,12370485,Sony Pictures Classics,tt9051908,movie,102,Drama,7.2,39425,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,12,10000000,0,0,1,0,0,0
Strange World,1120039,73621640,Walt Disney Studios Motion Pictures,tt10298840,movie,102,"Action,Adventure,Animation",5.7,50551,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,11,120000000,0,0,1,0,0,0
No Hard Feelings,50452282,87256407,Sony Pictures Releasing,tt15671028,movie,103,"Comedy,Romance",6.3,214870,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R,6,45000000,0,0,0,0,1,0
A Haunting in Venice,42471412,122290456,20th Century Studios,tt22687790,movie,103,"Crime,Drama,Horror",6.5,140787,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PG-13,9,60000000,0,0,0,1,0,0
Anyone But You,24837385,220123698,Columbia Pictures,tt26047818,movie,103,"Comedy,Romance",6.1,171999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R,12,25000000,0,0,0,0,1,1
The Pope's Exorcist,20009380,76987621,Screen Gems,tt13375076,movie,103,"Horror,Thriller",6.1,101881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,R,4,18000000,0,0,0,0,1,1
The Expendables 4,16710153,37917985,Lionsgate,tt3291150,movie,103,"Action,Adventure,Thriller",4.8,55468,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,9,100000000,0,0,0,0,1,0
What Happens Later,3273895,3461643,Bleecker Street Media,tt19890316,movie,103,"Comedy,Romance",4.9,5809,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R,11,3000000,0,0,0,0,1,0
The Retirement Plan,1607344,1653100,Falling Forward Films,tt14827638,movie,103,"Action,Comedy,Crime",5.1,11199,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,9,20000000,0,0,0,0,1,0
Silent Night,7996185,11067228,Lionsgate,tt15799866,movie,104,"Action,Crime,Drama",5.3,27992,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,12,10000000,0,0,0,0,1,0
Next Goal Wins,6713826,18648802,Searchlight Pictures,tt10767052,movie,104,"Comedy,Drama,Sport",6.5,31094,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PG-13,11,14000000,0,0,0,1,0,0
Love Again,6230837,12696584,Screen Gems,tt10276482,movie,104,"Comedy,Drama,Romance",5.9,18906,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,5,9000000,0,0,0,1,0,0
Women Talking,5321627,9276103,United Artists Releasing,tt13669038,movie,104,Drama,6.9,64082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,12,20000000,0,0,0,1,0,0
The Marvels,84479155,206136557,Walt Disney Studios Motion Pictures,tt10676048,movie,105,"Action,Adventure,Sci-Fi",5.5,163176,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,11,220000000,0,0,0,1,0,0
Asteroid City,28153025,53857743,Focus Features,tt14230388,movie,105,"Comedy,Drama,Romance",6.4,144347,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,6,25000000,0,0,0,1,0,0
Dumb Money,13925356,20703794,Sony Pictures Releasing,tt13957560,movie,105,"Biography,Comedy,Drama",6.8,62724,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,9,30000000,0,0,0,0,1,0
Past Lives,11031696,41967321,A24,tt13238346,movie,105,"Drama,Romance",7.8,171826,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,6,12000000,0,0,0,1,0,1
Thanksgiving,31800773,46553280,TriStar Pictures,tt1448754,movie,106,"Horror,Mystery,Thriller",6.2,80342,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,R,11,15000000,0,0,0,0,1,1
"Are You There God? It's Me, Margaret.",20372406,21464043,Lionsgate,tt9185206,movie,106,"Comedy,Drama,Family",7.3,38019,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,4,30000000,0,0,0,1,0,0
His Only Son,12392740,13817186,Angel,tt8277246,movie,106,"Drama,History",5.9,2946,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PG-13,3,250000,0,0,0,1,0,1
Insidious: The Red Door,82156962,189086877,Screen Gems,tt13405778,movie,107,"Horror,Mystery,Thriller",5.5,63369,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,PG-13,7,16000000,0,0,0,1,0,1
Plane,32111181,74515586,Lionsgate,tt5884796,movie,107,"Action,Adventure,Thriller",6.5,103425,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,1,25000000,0,0,0,0,1,1
Book Club: The Next Chapter,17581565,29014500,Focus Features,tt20768712,movie,107,"Comedy,Romance",5.6,10041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,5,20000000,0,0,0,1,0,0
The Menu,2779574,79628200,Searchlight Pictures,tt9764362,movie,107,"Comedy,Horror,Thriller",7.2,496394,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,R,11,30000000,0,0,0,0,1,1
The Blind,17265487,17265876,Fathom Events,tt16374352,movie,108,Drama,6.3,2976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,9,30000000,0,0,0,1,0,0
After Death,11477621,11830860,Angel,tt21191906,movie,108,Documentary,6.3,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,10,1250000,0,0,0,1,0,1
Freelance,5314136,10196704,Relativity Media,tt15744298,movie,108,"Action,Comedy",5.6,29172,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,10,40000000,0,0,0,0,1,0
Five Nights at Freddy's,137275620,291493620,Universal Pictures,tt4589218,movie,109,"Horror,Mystery,Thriller",5.4,137720,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,PG-13,10,20000000,0,0,0,1,0,1
The Equalizer 3,92373751,191067560,Columbia Pictures,tt17024450,movie,109,"Action,Crime,Thriller",6.8,160744,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,9,70000000,0,0,0,0,1,1
Marlowe,4350243,6377603,Open Road Films (II),tt6722802,movie,109,"Crime,Drama,Mystery",5.4,14740,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,2,26243420,0,0,0,0,1,0
The Nun II,86267073,269467073,Warner Bros.,tt10160976,movie,110,"Horror,Mystery,Thriller",5.6,80985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,R,9,38500000,0,0,0,0,1,1
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,56319794,Crunchyroll,tt26537229,movie,110,"Action,Adventure,Animation",7.7,17283,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,3,20000000,0,0,0,0,1,1
The Exorcist: Believer,65537395,136284218,Universal Pictures,tt12921446,movie,111,Horror,4.8,50518,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,10,30000000,0,0,0,0,1,1
Air,52460106,90060106,Amazon MGM Studios,tt16419074,movie,111,"Drama,Sport",7.4,194528,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,R,4,90000000,0,0,0,0,1,0
Missing,32502025,48767848,Sony Pictures Releasing,tt10855768,movie,111,"Drama,Mystery,Thriller",7.1,71560,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,PG-13,1,7000000,0,0,0,1,0,1
Magic Mike's Last Dance,26005156,57105156,Warner Bros.,tt16280138,movie,112,"Comedy,Drama",5.2,19863,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,2,45000000,0,0,0,0,1,0
The Machine,10458331,10664328,Sony Pictures Releasing,tt11040844,movie,112,"Action,Comedy",5.7,18035,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,5,20000000,0,0,0,0,1,0
Violent Night,3278955,76004405,Universal Pictures,tt12003946,movie,112,"Action,Comedy,Thriller",6.7,121113,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,12,20000000,0,0,0,0,1,1
Knights of the Zodiac,1090155,6986177,,tt6528290,movie,112,"Action,Adventure,Drama",4.4,18231,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,5,60000000,0,0,0,1,0,0
Priscilla,20900492,32959079,A24,tt22041854,movie,113,"Biography,Drama,Music",6.4,54486,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,R,10,20000000,0,0,0,0,1,0
Barbie,636225983,1445638421,Warner Bros.,tt1517268,movie,114,"Adventure,Comedy,Fantasy",6.8,667686,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,7,145000000,0,0,0,1,0,1
Operation Fortune: Ruse de Guerre,6496125,48983306,Lionsgate,tt7985704,movie,114,"Action,Adventure,Comedy",6.3,110547,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,3,50000000,0,0,0,0,1,0
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,14653308,Crunchyroll,tt15467380,movie,114,"Action,Adventure,Animation",6.9,3100,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,1,5000000,0,0,0,1,0,1
The Banshees of Inisherin,1555301,50250625,Searchlight Pictures,tt11813216,movie,114,"Comedy,Drama",7.6,295031,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,10,20000000,0,0,0,0,1,1
The Shift,11925234,12238643,Angel,tt19406606,movie,115,"Action,Romance,Sci-Fi",5.6,6428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,PG-13,12,6400000,0,0,0,1,0,0
