movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,Domestic gross (North America),Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,G,NC-17,PG,PG-13,R,release_date,budget,worldwide_gross,is_profitable,month_number
tt0077578,Foul Play,1978,PG,116 min,"Comedy,Mystery,Thriller",6.8,"A shy San Francisco librarian and a bumbling cop fall in love as they solve a crime involving albinos, dwarves, and the Catholic Church.",Colin Higgins,/name/nm0383359/,"Goldie Hawn, 
Chevy Chase, 
Burgess Meredith, 
Rachel Roberts","/name/nm0000443/,/name/nm0000331/,/name/nm0580565/,/name/nm0731499/",15988,44999621,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1978-07-14,5000000,45000000,TRUE,7
tt0075765,Black Sunday,1977,R,143 min,"Adventure,Crime,Drama",6.8,"Black Sunday is the powerful story of a Black September terrorist group attempting to blow up a Goodyear blimp hovering over the Super Bowl stadium with 80,000 people and the president of the United States in attendance.",John Frankenheimer,/name/nm0001239/,"Robert Shaw, 
Bruce Dern, 
Marthe Keller, 
Fritz Weaver","/name/nm0001727/,/name/nm0001136/,/name/nm0445715/,/name/nm0915851/",8421,15769322,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1977-03-11,8000000,15800000,FALSE,3
tt0365830,Tenacious D in the Pick of Destiny,2006,R,94 min,"Adventure,Comedy,Music",6.8,"To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum.",Liam Lynch,/name/nm0528381/,"Jack Black, 
Kyle Gass, 
JR Reed, 
Ronnie James Dio","/name/nm0085312/,/name/nm0309307/,/name/nm0715469/,/name/nm0227875/",110771,8319186,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2006-11-22,20000000,8300000,FALSE,11
tt0081760,Windwalker,1980,PG,108 min,"Adventure,Drama,Western",6.8,"In 1797 Utah, an aged Cheyenne patriarch helps his kin to fight off a raiding party of rival Crow warriors and he tells his grandchildren the story of their family.",Kieth Merrill,/name/nm0581303/,"Trevor Howard, 
Nick Ramus, 
James Remar, 
Serene Hedin","/name/nm0002145/,/name/nm0709142/,/name/nm0001664/,/name/nm0373306/",1157,18636482,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1980-12-12,3000000,18600000,TRUE,12
tt6820256,Arctic,2018,PG-13,98 min,"Adventure,Drama",6.8,A man stranded in the Arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown.,Joe Penna,/name/nm1020835/,"Mads Mikkelsen, 
Maria Thelma Smáradóttir, 
Tintrinai Thikhasuk","/name/nm0586568/,/name/nm5386550/,/name/nm10443784/",54313,2410795,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018-11-21,2000000,2800000,FALSE,11
tt0232500,The Fast and the Furious,2001,PG-13,106 min,"Action,Crime,Thriller",6.8,Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,Rob Cohen,/name/nm0003418/,"Vin Diesel, 
Paul Walker, 
Michelle Rodriguez, 
Jordana Brewster","/name/nm0004874/,/name/nm0908094/,/name/nm0735442/,/name/nm0108287/",391178,144533925,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2001-06-22,38000000,206512310,TRUE,6
tt0062512,You Only Live Twice,1967,PG,117 min,"Action,Adventure,Thriller",6.8,"James Bond and the Japanese Secret Service must find and stop the true culprit of a series of space hijackings, before war is provoked between Russia and the United States.",Lewis Gilbert,/name/nm0318150/,"Sean Connery, 
Akiko Wakabayashi, 
Mie Hama, 
Tetsurô Tanba","/name/nm0000125/,/name/nm0906686/,/name/nm0357240/,/name/nm0848533/",111800,43084787,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1967-06-13,9500000,111600000,TRUE,6
tt0478087,21,2008,PG-13,123 min,"Crime,Drama,History",6.8,"Inspired by real events and people, 21 is about six MIT students who become trained to be experts in card counting in Black Jack and subsequently took Vegas casinos for millions in winnings.",Robert Luketic,/name/nm0525659/,"Jim Sturgess, 
Kate Bosworth, 
Kevin Spacey, 
Aaron Yoo","/name/nm0836343/,/name/nm0098378/,/name/nm0000228/,/name/nm1683094/",255868,81159365,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2008-03-27,35000000,159846429,TRUE,3
tt2379713,Spectre,2015,PG-13,148 min,"Action,Adventure,Thriller",6.8,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",Sam Mendes,/name/nm0005222/,"Daniel Craig, 
Christoph Waltz, 
Léa Seydoux, 
Ralph Fiennes","/name/nm0185819/,/name/nm0910607/,/name/nm2244205/,/name/nm0000146/",446089,200074175,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015-10-26,245000000,879620923,TRUE,10
tt0096734,The 'Burbs,1989,PG,102 min,"Comedy,Mystery,Thriller",6.8,An overstressed suburbanite and his neighbors are convinced that the new family on the block is part of a murderous Satanic cult.,Joe Dante,/name/nm0001102/,"Tom Hanks, 
Bruce Dern, 
Carrie Fisher, 
Corey Feldman","/name/nm0000158/,/name/nm0001136/,/name/nm0000402/,/name/nm0000397/",77979,36602000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1989-02-17,18000000,49100000,TRUE,2
